timestamp,jobID,job,company,attempted,result
2020-09-13 19:44:34.903809,2013499512,Java Software Engineer,Innovery España S.L.U.,True,False
2020-09-13 19:45:03.973088,2009559130,Rendering Software Engineer,SEDDI,True,False
2020-09-13 19:45:32.582165,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-14 13:42:07.717491,2002165349,Programador Python,Innova-tsn,False,False
2020-09-14 13:42:23.371758,1958222087,Full Stack - Front (Python),Strategy Big Data,False,False
2020-09-14 13:42:52.088054,2011635112,DESARROLLADOR FULL STACK,Global Alumni,True,False
2020-09-14 13:43:07.284609,2011593333,Programador SQL,BNP Paribas Personal Finance,False,False
2020-09-14 13:43:33.226509,2011383542,Senior Fullstack Developer (Python),Claire Joster,True,True
2020-09-14 13:44:03.841431,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-14 13:45:53.296775,1908881506,Java Software Engineer,May Business Consulting,True,False
2020-09-14 13:46:08.575023,1697747240,Software Engineer,"CDS, a Hewlett Packard Enterprise company",False,False
2020-09-14 13:46:38.149660,1912568843,Data Engineer (Open to Remote working),Savana Médica,True,False
2020-09-14 13:47:02.966891,2011137934,DATA ENGINEER SPARK + HADOOP,SICPA,True,True
2020-09-14 13:47:18.131690,2023684690,Data Engineer,Sogeti,False,False
2020-09-14 13:47:46.872031,2011545333,Data Engineer,Business & Decision,True,False
2020-09-14 13:48:15.561300,2023613246,Data Engineer,YGroup Companies,True,False
2020-09-14 13:49:51.025211,1909875266,"Director, Solution Consulting",Pegasystems,False,False
2020-09-14 13:50:06.145852,2016947813,Big Data Analyst,Claire Joster,False,False
2020-09-14 13:50:21.177130,2011244008,Senior Data Analyst (FTTH Telco),Arca.,False,False
2020-09-14 13:50:36.685143,2011363922,Data Analyst German Speaker,IQVIA,False,False
2020-09-14 13:51:05.898657,2011631796,BUSINESS ANALYST,Axactor Spain,True,False
2020-09-14 13:51:30.633124,2023817017,Business Analyst,Orbis Consultants,True,True
2020-09-14 13:53:04.311116,2150330727,Power BI Consultant,Bluetab Solutions,False,False
2020-09-14 13:53:19.400179,2010335374,Visualización Azure Power Bi,everis,False,False
2020-09-14 13:53:45.172514,2019371674,Cyber Security Architect / Consultant,Airbus,True,True
2020-09-14 13:54:00.210691,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
2020-09-14 13:54:15.240121,2012647515,Business Intelligence Consultant,Visualitics,False,False
2020-09-14 13:54:30.475301,2011134365,Business Intelligence Analyst,JUST EAT,False,False
2020-09-14 13:56:27.080113,2150260899,Computer Vision/ Machine Learning Engineer,Geomni UK,True,False
2020-09-14 13:56:51.678253,2013766822,Senior data scientist - + 4 years exp (till end of 2021),Montreal Associates,True,True
2020-09-14 13:57:16.209597,1809141101,Junior Technology Consultant,Minsait,True,True
2020-09-14 13:57:31.162852,1954005134,Cloud Data Engineer Azure,everis,False,False
2020-09-14 13:58:01.348384,2011545333,Data Engineer,Business & Decision,True,False
2020-09-14 13:58:16.462993,1912377274,EXPERTO EN SNOWFLAKE,FDS a DXC Technology Company,False,False
